addr,assessVal,assessYear,baseExAmt,baseTaxAmt,lienAmt,block,lot,ward,ownerOcc,vacant,sqft,zoneCode,winBidAmt,winPremium,winAmtDue,winBidder,winBusinessNum
1816 S CHARLES ST,200500.0,2012,0.0,200500.0,3925.21,1029,009,23,0,0,1691.25,M-2-2,116383.0,7236.0,11161.21,,60.0
1601 CHARLOTTE AVE,116600.0,2012,0.0,116600.0,1066.78,6798,026,26,1,0,5000.0,R-5,75718.0,5815.0,6881.78,,60.0
1618 CHARLOTTE AVE,147300.0,2012,0.0,147300.0,11230.99,6807,019,26,0,0,6875.0,R-5,25000.0,0.0,11230.99,,89.0
0647 CHARRAWAY ROAD,140500.0,2012,0.0,140500.0,1360.76,8142,095,25,1,0,3671.11,R-6,91699.62,7099.0,8459.76,"PLUTO 2013, LLC",154.0
0409 CHARTER OAK AVE,134000.0,2012,0.0,134000.0,4705.59,5053A,011,27,0,0,2504.33,R-5,80999.0,5479.0,10184.59,,27.0
0001 E CHASE ST UNIT R3B,281800.0,2012,0.0,281800.0,2376.71,0506,209,11,0,0,4026.9,B-4-2,152291.0,7914.0,10290.71,,60.0
0001 E CHASE ST UNIT R3M,57900.0,2012,0.0,57900.0,544.28,0506,220,11,0,0,827.5,B-4-2,42209.8,3809.0,4353.28,,162.0
0001 E CHASE ST UNIT R4,163500.0,2012,0.0,163500.0,4689.92,0506,151,11,0,0,3635.3,B-4-2,94462.0,5812.0,10501.92,,27.0
0001 E CHASE ST UNIT 311,135000.0,2012,0.0,135000.0,507.36,0506,046,11,0,0,568.1,TBD,75000.0,4200.0,4707.36,,27.0
0001 E CHASE ST UNIT 410,250000.0,2012,0.0,250000.0,434.08,0506,059,11,1,0,1216.12,B-4-2,120000.0,4000.0,4434.08,,27.0
0001 E CHASE ST UNIT 610,250000.0,2012,0.0,250000.0,414.69,0506,087,11,1,0,1216.12,TBD,119000.0,3800.0,4214.69,,27.0
0001 E CHASE ST UNIT 912,145000.0,2012,0.0,145000.0,532.12,0506,131,11,0,0,904.32,B-4-2,80000.0,4400.0,4932.12,,27.0
0211 E CHASE ST,203500.0,2012,0.0,203500.0,6678.44,0508,039,11,0,0,,O-R-4,114497.0,6619.0,13297.44,,60.0
0901 E CHASE ST,1000.0,2012,0.0,1000.0,36071.95,1184,059,10,0,0,1372.0,R-8,,,,,
0925 E CHASE ST,1000.0,2012,0.0,1000.0,2270.36,1184,047,10,0,1,792.0,R-8,,,,,
0931 E CHASE ST,12000.0,2012,0.0,12000.0,9575.76,1184,044,10,0,1,792.0,R-8,,,,,
2103 E CHASE ST,12000.0,2012,0.0,12000.0,671.11,1569,002,8,0,0,794.89,R-8,,,,,
2105 E CHASE ST,12000.0,2012,0.0,12000.0,838.89,1569,003,8,0,1,851.67,R-8,,,,,
2139 E CHASE ST,12000.0,2012,0.0,12000.0,6206.44,1569,020,8,0,0,851.67,R-8,,,,,
2204 E CHASE ST,12000.0,2012,0.0,12000.0,10471.82,1553,003,8,0,0,980.0,R-8,,,,,
